#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
09443A;SOMPUIS AP;Agence postale communale;09463A;2 RUE DE L EGLISE;;;51320;SOMPUIS;51550;FRANCE;48.684596;4.377468;Géocodé au centre de la commune;3631;48.684596, 4.377468
09448A;TOURS SUR MARNE BP;Bureau de Poste;;1 RUE DE LA HALLE;;;51150;TOURS SUR MARNE;51576;FRANCE;49.047392;4.119196;Géocodé au numéro;3631;49.047392, 4.119196
09454A;VERNEUIL RP;Relais poste commerçant;09378A;19 RUE DE LA TOUR;BOULANGERIE  PATISSERIE;;51700;VERNEUIL;51609;FRANCE;49.096849;3.673478;Géocodé au numéro;3631;49.096849, 3.673478
09461A;VILLERS MARMERY AP;Agence postale communale;09370A;6 AVENUE DE CHAMPAGNE;;;51380;VILLERS MARMERY;51636;FRANCE;49.134495;4.195405;Géocodé au numéro;3631;49.134495, 4.195405
09474A;REIMS BILLARD BP;Bureau de Poste;;2 RUE PIERRE TAITTINGER;;;51100;REIMS;51454;FRANCE;49.235792;4.006518;Géocodé au numéro;3631;49.235792, 4.006518
09481A;EPERNAY MAGENTA RP;Relais poste commerçant;09379A;9 AVENUE ALFRED ANATOLE THEVENET;;;51530;MAGENTA;51663;FRANCE;49.047579;3.964994;Géocodé au numéro;3631;49.047579, 3.964994
09490A;REIMS PAYS DE FRANCE BP;Bureau de Poste;;2 ALLEE DES PICARDS;;;51100;REIMS;51454;FRANCE;49.230198;4.00624;Géocodé au numéro;3631;49.230198, 4.00624
09492A;REIMS CERES;Bureau de Poste;;2 RUE CERES;;;51100;REIMS;51454;FRANCE;49.255698;4.034677;Géocodé au numéro;3631;49.255698, 4.034677
09508A;CHALINDREY;Bureau de Poste;;1 PLACE DE LA POSTE;;;52600;CHALINDREY;52093;FRANCE;47.804412;5.427285;Géocodé au numéro;3631;47.804412, 5.427285
09519A;CORGIRNON AP;Agence postale communale;09547A;CORGIRNON;;;52500;CHAMPSEVRAINE;52083;FRANCE;47.747493;5.533999;Géocodé au centre de la commune;3631;47.747493, 5.533999
09524A;DONJEUX AP;Agence postale communale;09513A;13 RUE DE LA ROCHE;;;52300;DONJEUX;52175;FRANCE;48.365568;5.153294;Géocodé au numéro;3631;48.365568, 5.153294
09529A;EURVILLE BIENVILLE BP;Bureau de Poste;;4 PLACE NOTRE DAME;;;52410;EURVILLE BIENVILLE;52194;FRANCE;48.585034;5.036383;Géocodé au numéro;3631;48.585034, 5.036383
09537A;HARREVILLE LES CHANTEURS RP;Relais poste commerçant;09513A;27 RUE DE CHAMPAGNE;BAR TABAC BERNARD;;52150;HARREVILLE LES CHANTEURS;52237;FRANCE;48.264592;5.630653;Géocodé au numéro;3631;48.264592, 5.630653
09540A;HUMES JORQUENAY AP;Agence postale communale;09547A;RUE DE LA POSTE;;;52200;HUMES JORQUENAY;52246;FRANCE;47.902397;5.302283;Géocodé au centre de la commune;3631;47.902397, 5.302283
09543A;JUZENNECOURT AP;Agence postale communale;09513A;27 ROUTE NATIONALE;;;52330;JUZENNECOURT;52253;FRANCE;48.1844;4.979282;Géocodé au centre de la commune;3631;48.1844, 4.979282
09544A;LAFERTE SUR AMANCE AP;Agence postale communale;09547A;4 BIS GRANDE RUE;;;52500;LAFERTE SUR AMANCE;52257;FRANCE;47.832692;5.697761;Géocodé au centre de la commune;3631;47.832692, 5.697761
09560A;MONTIER EN DER BP;Bureau de Poste;;23 RUE DES PONTS;;;52220;MONTIER EN DER;52331;FRANCE;48.475693;4.769562;Géocodé au numéro;3631;48.475693, 4.769562
09561A;VAL DE MEUSE BP;Bureau de Poste;;18 RUE CORNEVIN;;;52140;VAL DE MEUSE;52332;FRANCE;47.99951;5.497158;Géocodé au numéro;3631;47.99951, 5.497158
09564A;PERTHES AP;Agence postale communale;09513A;25 GRANDE RUE;;;52100;PERTHES;52386;FRANCE;48.655037;4.823714;Géocodé au numéro;3631;48.655037, 4.823714
09569A;PREZ SOUS LAFAUCHE AP;Agence postale communale;09513A;52 ROUTE NATIONALE;;;52700;PREZ SOUS LAFAUCHE;52407;FRANCE;48.286009;5.4904;Géocodé au numéro;3631;48.286009, 5.4904
09589A;VICQ AP;Agence postale communale;09547A;PLACE DE LA MAIRIE;;;52400;VICQ;52520;FRANCE;47.923691;5.602677;Géocodé au centre de la commune;3631;47.923691, 5.602677
09590A;VIEVILLE AP;Agence postale communale;09513A;6 RUE DE LA MARNE;;;52310;VIEVILLE;52522;FRANCE;48.238995;5.134299;Géocodé au centre de la commune;3631;48.238995, 5.134299
09599A;WASSY BP;Bureau de Poste;;RUE DU GENERAL LECLERC;;;52130;WASSY;52550;FRANCE;48.4972;4.946212;Géocodé au numéro;3631;48.4972, 4.946212
09608A;CHAUMONT CAVALIER BP;Bureau de Poste;;2 B RUE DE CARCASSONNE;;;52000;CHAUMONT;52121;FRANCE;48.09894;5.136942;Géocodé au numéro;3631;48.09894, 5.136942
08602A;CRESSENSAC BP;Bureau de Poste;;LIEU DIT BOURG;;;46600;CRESSENSAC;46083;FRANCE;45.019534;1.518827;Géocodé au numéro;3631;45.019534, 1.518827
08568A;CHALETTE VESINES BP;Bureau de Poste;;63 T RUE ROGER SALENGRO;;;45120;CHALETTE SUR LOING;45068;FRANCE;48.018493;2.714952;Géocodé au numéro;3631;48.018493, 2.714952
08587A;BRETENOUX BP;Bureau de Poste;;AVENUE DE LA LIBERATION;;;46130;BRETENOUX;46038;FRANCE;44.915123;1.838943;Géocodé au numéro;3631;44.915123, 1.838943
08588A;CABRERETS BP;Bureau de Poste;;LIEU DIT LE BOURG;;;46330;CABRERETS;46040;FRANCE;44.505694;1.65532;Géocodé au numéro;3631;44.505694, 1.65532
08594A;CASTELFRANC AP;Agence postale communale;08641A;AVENUE DE LA BASTIDE;;;46140;CASTELFRANC;46062;FRANCE;44.501796;1.222656;Géocodé au milieu de la rue;3631;44.501796, 1.222656
08595A;CASTELNAU MONTRATIER BP;Bureau de Poste;;10 AVENUE DU GENERAL DE GAULLE;;;46170;CASTELNAU MONTRATIER;46063;FRANCE;44.270258;1.352708;Géocodé au numéro;3631;44.270258, 1.352708
08605A;DURAVEL AP;Agence postale communale;08641A;LE BOURG;PLACE DE LA MAIRIE;;46700;DURAVEL;46089;FRANCE;44.515951;1.07936;Géocodé au numéro;3631;44.515951, 1.07936
08625A;LEYME BP;Bureau de Poste;;BOURG;;;46120;LEYME;46170;FRANCE;44.784352;1.901121;Géocodé au numéro;3631;44.784352, 1.901121
08639A;PEYRILLES AP;Agence postale communale;08614A;LIEU DIT BOURG;;;46310;PEYRILLES;46219;FRANCE;44.619293;1.414751;Géocodé au centre de la commune;3631;44.619293, 1.414751
12074A;LACQ APC AP;Agence postale communale;12112A;ALLEE SANT QUINTI;;;64170;LACQ;64300;FRANCE;43.412095;-0.624812;Géocodé au centre de la commune;3631;43.412095, -0.624812
12080A;LARRESSORE AP;Agence postale communale;12046A;PLACE DE LA MAIRIE;;;64480;LARRESSORE;64317;FRANCE;43.372143;-1.43601;Géocodé au numéro;3631;43.372143, -1.43601
12086A;LESTELLE BETHARRAM AP;Agence postale communale;12108A;6 RUE DU PARC DES SPORTS;;;64800;LESTELLE BETHARRAM;64339;FRANCE;43.129694;-0.208067;Géocodé au milieu de la rue;3631;43.129694, -0.208067
12093A;MASLACQ AP;Agence postale communale;12112A;PLACE DE LA MAIRIE;;;64300;MASLACQ;64367;FRANCE;43.437197;-0.694926;Géocodé au centre de la commune;3631;43.437197, -0.694926
12095A;MAZERES LEZONS BP;Bureau de Poste;;PLACE MENDES FRANCE;;;64110;MAZERES LEZONS;64373;FRANCE;43.277595;-0.35601;Géocodé au milieu de la rue;3631;43.277595, -0.35601
12107A;NAVARRENX BP;Bureau de Poste;;1 AVENUE DE FRANCE;;;64190;NAVARRENX;64416;FRANCE;43.321068;-0.759068;Géocodé au numéro;3631;43.321068, -0.759068
12109A;OGEU LES BAINS BP;Bureau de Poste;;1 RUE DU PONT DE TAULE;;;64680;OGEU LES BAINS;64421;FRANCE;43.145598;-0.507537;Géocodé au milieu de la rue;3631;43.145598, -0.507537
12116A;PONTACQ BP;Bureau de Poste;;7 PLACE HUNINGUE;;;64530;PONTACQ;64453;FRANCE;43.185495;-0.115219;Géocodé au numéro;3631;43.185495, -0.115219
12117A;PONTIACQ VIELLEPINTE BP;Bureau de Poste;;;MAISON DES SERVICES DU MONTANERES;;64460;PONTIACQ VIELLEPINTE;64454;FRANCE;43.363761;-0.051055;Géocodé au numéro;3631;43.363761, -0.051055
12120A;REBENACQ AP;Agence postale communale;12108A;13 PLACE DE L EGLISE;;;64260;REBENACQ;64463;FRANCE;43.160518;-0.395978;Géocodé au numéro;3631;43.160518, -0.395978
12124A;SAINT JEAN LE VIEUX AP;Agence postale communale;12127A;CENTRE BOURG;MAIRIE;;64220;ST JEAN LE VIEUX;64484;FRANCE;43.16531;-1.19458;Géocodé au centre de la commune;3631;43.16531, -1.19458
12133A;SAULT DE NAVAILLES AP;Agence postale communale;12112A;;;400 RUE DE FRANCE;64300;SAULT DE NAVAILLES;64510;FRANCE;43.550192;-0.672901;Géocodé au centre de la commune;3631;43.550192, -0.672901
12138A;SIMACOURBE BP;Bureau de Poste;;LE BOURG;;;64350;SIMACOURBE;64524;FRANCE;43.4414;-0.167359;Géocodé au numéro;3631;43.4414, -0.167359
12139A;SOUMOULOU BP;Bureau de Poste;;AVENUE LASBORDES;;;64420;SOUMOULOU;64526;FRANCE;43.265918;-0.188135;Géocodé au numéro;3631;43.265918, -0.188135
12143A;URCUIT APC AP;Agence postale communale;12156A;LE BOURG;;11;64990;URCUIT;64540;FRANCE;43.486351;-1.338327;Géocodé au numéro;3631;43.486351, -1.338327
12161A;SAINT JEAN DE LUZ BP;Bureau de Poste;;2 RUE DE L INDUSTRIE;ZONE INDUSTRIELLE DU JALDAY;;64500;ST JEAN DE LUZ;64483;FRANCE;43.406896;-1.623029;Géocodé au numéro;3631;43.406896, -1.623029
12190A;AVENTIGNAN BP;Bureau de Poste;;ROUTE DE LOMBRES;;;65660;AVENTIGNAN;65051;FRANCE;43.066623;0.518717;Géocodé au numéro;3631;43.066623, 0.518717
12225A;VIDOUZE BP;Bureau de Poste;;VILLAGE;;;65700;VIDOUZE;65462;FRANCE;43.443592;-0.049301;Géocodé au numéro;3631;43.443592, -0.049301
12232A;GERM RP;Relais poste commerçant;12253A;;RES LES BALCONS DU SOLEIL;;65240;GERM;65199;FRANCE;42.794191;0.442652;Géocodé au centre de la commune;3631;42.794191, 0.442652
12240A;MONLONG AP;Agence postale communale;12228A;VILLAGE;;;65670;MONLONG;65316;FRANCE;43.205698;0.464053;Géocodé au centre de la commune;3631;43.205698, 0.464053
12244A;OSSUN BP;Bureau de Poste;;6 RUE GEORGES CLEMENCEAU;;;65380;OSSUN;65344;FRANCE;43.185412;-0.026732;Géocodé au numéro;3631;43.185412, -0.026732
12247A;POUYASTRUC BP;Bureau de Poste;;2 RUE DE LA POSTE;;;65350;POUYASTRUC;65369;FRANCE;43.265304;0.17058;Géocodé au numéro;3631;43.265304, 0.17058
12258A;SARRANCOLIN BP;Bureau de Poste;;7 RUE DE L HOTEL DE VILLE;;;65410;SARRANCOLIN;65408;FRANCE;42.966599;0.377611;Géocodé au milieu de la rue;3631;42.966599, 0.377611
12261A;SIRADAN AP;Agence postale communale;12228A;5 CHEMIN HOURCADON;;;65370;SIRADAN;65427;FRANCE;42.968995;0.61279;Géocodé au milieu de la rue;3631;42.968995, 0.61279
12264A;TOURNAY BP;Bureau de Poste;;6 PLACE D ASTARAC;;;65190;TOURNAY;65447;FRANCE;43.184103;0.241822;Géocodé au numéro;3631;43.184103, 0.241822
12266A;TRIE SUR BAISE  BP;Bureau de Poste;;RUE DE LA VIEILLE TOUR;;;65220;TRIE SUR BAISE;65452;FRANCE;43.320795;0.3686;Géocodé au centre de la commune;3631;43.320795, 0.3686
