#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
00713A;ORCIERES BP;Bureau de Poste;;AU BOURG;;;05170;ORCIERES;05096;FRANCE;44.684266;6.325916;Géocodé au numéro;3631;44.684266, 6.325916
00715A;LES ORRES AP;Agence postale communale;00695A;;;;05200;LES ORRES;05098;FRANCE;44.514;6.550263;Géocodé au centre de la commune;3631;44.514, 6.550263
00723A;LA ROCHE DES ARNAUDS BP;Bureau de Poste;;LA PLACE DU VILLAGE;;;05400;LA ROCHE DES ARNAUDS;05123;FRANCE;44.56329;5.958913;Géocodé au numéro;3631;44.56329, 5.958913
00728A;SAINT CREPIN AP;Agence postale communale;00753A;PLACE EGLISE;;;05600;ST CREPIN;05136;FRANCE;44.708133;6.606628;Géocodé au numéro;3631;44.708133, 6.606628
00740A;LA SAULCE BP;Bureau de Poste;;LE BOURG;;;05110;LA SAULCE;05162;FRANCE;44.425159;6.007787;Géocodé au numéro;3631;44.425159, 6.007787
00742A;SERRES BP;Bureau de Poste;;RUE VARANFRAIN;;;05700;SERRES;05166;FRANCE;44.428067;5.714665;Géocodé au numéro;3631;44.428067, 5.714665
00752A;VILLAR D ARENE AP;Agence postale communale;00753A;;;LE BOURG;05480;VILLAR D ARENE;05181;FRANCE;45.042941;6.335124;Géocodé au numéro;3631;45.042941, 6.335124
00756A;GAP TOKORO BP;Bureau de Poste;;GALERIE COMMERCIALE GEANT CASINO;;;05000;GAP;05061;FRANCE;44.568794;6.105278;Géocodé au numéro;3631;44.568794, 6.105278
00759A;SUPER DEVOLUY AP;Agence postale communale;00750A;;LA MAISON DU DEVOLUY;SUPERDEVOLUY;05250;ST ETIENNE EN DEVOLUY;05139;FRANCE;44.675252;5.928582;Géocodé au numéro;3631;44.675252, 5.928582
00760A;LA BEAUME AP;Agence postale communale;00750A;;;;05140;LA BEAUME;05019;FRANCE;44.552527;5.636494;Géocodé au numéro;3631;44.552527, 5.636494
00772A;BEAUSOLEIL BP;Bureau de Poste;;27 BOULEVARD DE LA REPUBLIQUE;;;06240;BEAUSOLEIL;06012;FRANCE;43.743196;7.425291;Géocodé au numéro;3631;43.743196, 7.425291
00778A;BIOT ST PHILIPPE BP;Bureau de Poste;;200  AVENUE ROUMANILLE;ESPACE SAINT PHILIPPE;;06410;BIOT;06018;FRANCE;43.618221;7.075352;Géocodé au centre de la commune;3631;43.618221, 7.075352
00781A;BONSON AP;Agence postale communale;00818A;PLACE   DESIRE SCOFFIER;;;06830;BONSON;06021;FRANCE;43.86316;7.188639;Géocodé au numéro;3631;43.86316, 7.188639
00785A;LE BROC AP;Agence postale communale;00852A;10 GRAND RUE;;;06510;LE BROC;06025;FRANCE;43.809026;7.169332;Géocodé au numéro;3631;43.809026, 7.169332
00789A;CANNES CROISETTE;Bureau de Poste;;22 RUE BIVOUAC NAPOLEON;;;06400;CANNES;06029;FRANCE;43.551795;7.017604;Géocodé au numéro;3631;43.551795, 7.017604
00794A;NICE PREFECTURE BP;Bureau de Poste;;44 RUE DES MAHONIAS;;;06200;NICE;06088;FRANCE;43.677193;7.205079;Géocodé au numéro;3631;43.677193, 7.205079
00802A;DRAP BP;Bureau de Poste;;38 AVENUE JEAN MOULIN;;;06340;DRAP;06054;FRANCE;43.753963;7.320642;Géocodé au numéro;3631;43.753963, 7.320642
00808A;FONTAN BP;Bureau de Poste;;RUE THEOPHILE BOTTONE;;;06540;FONTAN;06062;FRANCE;44.002636;7.553692;Géocodé au numéro;3631;44.002636, 7.553692
00809A;NICE ST JEAN D ANGELY BP;Bureau de Poste;;9 BOULEVARD SAINT ROCH;;;06300;NICE;06088;FRANCE;43.709797;7.292925;Géocodé au numéro;3631;43.709797, 7.292925
00815A;GREOLIERES AP;Agence postale communale;00839A;5 RUE DE LA MAIRIE;MAIRIE;;06620;GREOLIERES;06070;FRANCE;43.794899;6.943169;Géocodé au numéro;3631;43.794899, 6.943169
00816A;GUILLAUMES BP;Bureau de Poste;;PLACE GENERAL DE GAULLE;;;06470;GUILLAUMES;06071;FRANCE;44.088791;6.853194;Géocodé au numéro;3631;44.088791, 6.853194
00823A;MENTON;Bureau de Poste;;COURS GEORGE V;;;06500;MENTON;06083;FRANCE;43.773396;7.496391;Géocodé au numéro;3631;43.773396, 7.496391
00828A;OPIO BP;Bureau de Poste;;ESPACE COMMERCIAL 1 ROND POINT;;;06650;OPIO;06089;FRANCE;43.667604;6.985624;Géocodé au numéro;3631;43.667604, 6.985624
00833A;PEONE VALBERG BP;Bureau de Poste;;1 PLACE PLAZA;;VALBERG;06470;PEONE;06094;FRANCE;44.096295;6.932566;Géocodé au centre de la commune;3631;44.096295, 6.932566
00835A;PUGET THENIERS BP;Bureau de Poste;;PLACE GENERAL DE GAULLE;;;06260;PUGET THENIERS;06099;FRANCE;43.955592;6.895649;Géocodé au milieu de la rue;3631;43.955592, 6.895649
00838A;ROQUEBRUNE CAP MARTIN PRINCIPAL BP;Bureau de Poste;;45 AVENUE PAUL DOUMER;;;06190;ROQUEBRUNE CAP MARTIN;06104;FRANCE;43.757699;7.474498;Géocodé au numéro;3631;43.757699, 7.474498
00845A;SAINT ANDRE DE LA ROCHE BP;Bureau de Poste;;87 QUAI DE LA BANQUIERE;;;06730;ST ANDRE DE LA ROCHE;06114;FRANCE;43.739694;7.287317;Géocodé au numéro;3631;43.739694, 7.287317
00846A;SAINT AUBAN AP;Agence postale communale;00814A;9 PLACE DON JEAN BELLON;AGENCE POSTALE COMMUNALE;;06850;ST AUBAN;06116;FRANCE;43.848688;6.726588;Géocodé au numéro;3631;43.848688, 6.726588
00848A;SAINT CEZAIRE SUR SIAGNE BP;Bureau de Poste;;8 PLACE DU GENERAL DE GAULLE;;;06530;ST CEZAIRE SUR SIAGNE;06118;FRANCE;43.649563;6.793085;Géocodé au numéro;3631;43.649563, 6.793085
00850A;SAINT JEAN CAP FERRAT BP;Bureau de Poste;;51 AVENUE DENIS SEMERIA;;;06230;ST JEAN CAP FERRAT;06121;FRANCE;43.691291;7.330277;Géocodé au numéro;3631;43.691291, 7.330277
00851A;SAINT JEANNET BP;Bureau de Poste;;40 RUE DU VALLON;;;06640;ST JEANNET;06122;FRANCE;43.749118;7.143634;Géocodé au numéro;3631;43.749118, 7.143634
00854A;SAINT MARTIN DU VAR BP;Bureau de Poste;;7 AVENUE PASTEUR;RESIDENCE PASTEUR;;06670;ST MARTIN DU VAR;06126;FRANCE;43.821996;7.190549;Géocodé au numéro;3631;43.821996, 7.190549
00856A;SAINT PAUL BP;Bureau de Poste;;ROND POINT SAINTE CLAIRE;;;06570;ST PAUL;06128;FRANCE;43.698198;7.122223;Géocodé au milieu de la rue;3631;43.698198, 7.122223
00859A;SAORGE AP;Agence postale communale;00823A;RUE CARRERA DE MEDJE;;;06540;SAORGE;06132;FRANCE;43.9868;7.552683;Géocodé au centre de la commune;3631;43.9868, 7.552683
00860A;SIGALE AP;Agence postale communale;00818A;6 PLACE DE L EGLISE;;;06910;SIGALE;06135;FRANCE;43.871877;6.964818;Géocodé au numéro;3631;43.871877, 6.964818
00861A;SOSPEL BP;Bureau de Poste;;;;LES MOULINS;06380;SOSPEL;06136;FRANCE;43.878896;7.447071;Géocodé au numéro;3631;43.878896, 7.447071
00866A;LA TOUR AP;Agence postale communale;00818A;RUE PRINCIPALE;;;06420;LA TOUR;06144;FRANCE;43.946566;7.183653;Géocodé au numéro;3631;43.946566, 7.183653
00872A;VALBONNE PRINCIPAL;Bureau de Poste;;4 RUE SOUTRANE;;;06560;VALBONNE;06152;FRANCE;43.623297;7.04696;Géocodé au numéro;3631;43.623297, 7.04696
00873A;VALDEBLORE APC AP;Agence postale communale;00818A;RUE CENTRALE;PLACE DE LA POSTE;LA BOLLINE;06420;VALDEBLORE;06153;FRANCE;44.073121;7.167143;Géocodé au numéro;3631;44.073121, 7.167143
00876A;VILLARS SUR VAR BP;Bureau de Poste;;12 AVENUE BISCHOFFSHEIM;;;06710;VILLARS SUR VAR;06158;FRANCE;43.936356;7.097692;Géocodé au numéro;3631;43.936356, 7.097692
00880A;TENDE BP;Bureau de Poste;;107 AVENUE DU 16 SEPTEMBRE 1947;;;06430;TENDE;06163;FRANCE;44.090827;7.592425;Géocodé au numéro;3631;44.090827, 7.592425
00882A;NICE RUE DE FRANCE BP;Bureau de Poste;;35 RUE DE FRANCE;;;06000;NICE;06088;FRANCE;43.696098;7.262166;Géocodé au numéro;3631;43.696098, 7.262166
00899A;SAINT DALMAS DE TENDE RPC RP;Relais poste commerçant;00823A;15 AVENUE DE FRANCE;RN 204;ST DALMAS DE TENDE;06430;TENDE;06163;FRANCE;44.090758;7.592336;Géocodé au numéro;3631;44.090758, 7.592336
00907A;CANNES RANGUIN BP;Bureau de Poste;;13 RUE VICTOR HUGO;;CANNES LA BOCCA;06150;CANNES;06029;FRANCE;43.567814;6.966615;Géocodé au numéro;3631;43.567814, 6.966615
00915A;VENCE HOTEL DE VILLE BP;Bureau de Poste;;PLACE GEORGES CLEMENCEAU;;;06140;VENCE;06157;FRANCE;43.722497;7.113586;Géocodé au milieu de la rue;3631;43.722497, 7.113586
00920A;VILLENEUVE LOUBET VILLAGE BP;Bureau de Poste;;70 AVENUE DES FERRAYONNES;;;06270;VILLENEUVE LOUBET;06161;FRANCE;43.65792;7.12417;Géocodé au numéro;3631;43.65792, 7.12417
00921A;NICE LYMPIA BP;Bureau de Poste;;6 QUAI PAPACINO;;;06300;NICE;06088;FRANCE;43.697595;7.28382;Géocodé au numéro;3631;43.697595, 7.28382
00925A;NICE SAINT AUGUSTIN;Bureau de Poste;;57 ROUTE DE GRENOBLE;;;06200;NICE;06088;FRANCE;43.670694;7.208233;Géocodé au numéro;3631;43.670694, 7.208233
00934A;JUAN LES PINS;Bureau de Poste;;1 AVENUE DU MARECHAL JOFFRE;;;06160;JUAN LES PINS;06004;FRANCE;43.570426;7.111339;Géocodé au numéro;3631;43.570426, 7.111339
00940A;NICE GARIBALDI;Bureau de Poste;;34 RUE BARBERIS;;;06300;NICE;06088;FRANCE;43.704296;7.285407;Géocodé au numéro;3631;43.704296, 7.285407
00949A;ANDON THORENC AP;Agence postale communale;00814A;1 AVENUE DU BELVEDERE;;THORENC;06750;ANDON;06003;FRANCE;43.805307;6.804314;Géocodé au numéro;3631;43.805307, 6.804314
00955A;NICE GAMBETTA BP;Bureau de Poste;;12 RUE BOTTERO;;;06000;NICE;06088;FRANCE;43.696699;7.254286;Géocodé au numéro;3631;43.696699, 7.254286
00970A;MOUGINS LE VAL BP;Bureau de Poste;;284 AVENUE DE L HUBAC;;;06250;MOUGINS;06085;FRANCE;43.600994;6.987086;Géocodé au numéro;3631;43.600994, 6.987086
00971A;MENTON GARAVAN BP;Bureau de Poste;;ESP DE GARAVAN;;;06500;MENTON;06083;FRANCE;43.779798;7.509853;Géocodé au milieu d un îlot;3631;43.779798, 7.509853
00979A;NICE MONT ALBAN BP;Bureau de Poste;;100 CORNICHE ANDRE DE JOLY;;;06300;NICE;06088;FRANCE;43.705696;7.301036;Géocodé au numéro;3631;43.705696, 7.301036
00980A;NICE L ARIANE BP;Bureau de Poste;;12 CHEMIN DU CHATEAU SAINT PIERRE;;;06300;NICE;06088;FRANCE;43.736907;7.30254;Géocodé au numéro;3631;43.736907, 7.30254
00986A;ANTIBES CROIX ROUGE BP;Bureau de Poste;;2 CHEMIN DES TERRIERS;MAIRIE ANNEXE;;06600;ANTIBES;06004;FRANCE;43.595525;7.091238;Géocodé au numéro;3631;43.595525, 7.091238
00995A;ANTRAIGUES SUR VOLANE AP;Agence postale communale;00999A;MONTEE DE LA CROISETTE;;;07530;ANTRAIGUES SUR VOLANE;07011;FRANCE;44.71829;4.357463;Géocodé au numéro;3631;44.71829, 4.357463
01007A;BOFFRES RP;Relais poste commerçant;04652A;36 RUE DES FONTAINES;SARL MULTIX;;07440;BOFFRES;07035;FRANCE;44.920298;4.702466;Géocodé au centre de la commune;3631;44.920298, 4.702466
01013A;CHAMPAGNE AP;Agence postale communale;00994A;RUE LAMARTINE;;;07340;CHAMPAGNE;07051;FRANCE;45.271999;4.799166;Géocodé au numéro;3631;45.271999, 4.799166
01019A;LE CHEYLARD BP;Bureau de Poste;;RUE DU TEMPLE;;;07160;LE CHEYLARD;07064;FRANCE;44.907195;4.425496;Géocodé au numéro;3631;44.907195, 4.425496
01033A;DEVESSET AP;Agence postale communale;01058A;MAIRIE;;;07320;DEVESSET;07080;FRANCE;45.068161;4.388078;Géocodé au numéro;3631;45.068161, 4.388078
01036A;EMPURANY AP;Agence postale communale;01058A;105 A RUE CENTRALE;;;07270;EMPURANY;07085;FRANCE;45.024495;4.608396;Géocodé au centre de la commune;3631;45.024495, 4.608396
01038A;FELINES AP;Agence postale communale;00994A;PLACE DE LA MAIRIE;;;07340;FELINES;07089;FRANCE;45.317088;4.728177;Géocodé au milieu d un îlot;3631;45.317088, 4.728177
01042A;GROSPIERRES AP;Agence postale communale;01092A;;;;07120;GROSPIERRES;07101;FRANCE;44.400981;4.289694;Géocodé au numéro;3631;44.400981, 4.289694
13875A;ECOLE RP;Relais poste commerçant;14094A;CHEF LIEU;BAR RESTAURANT LE BOUTON D OR;;73630;ECOLE;73106;FRANCE;45.650313;6.16785;Géocodé au numéro;3631;45.650313, 6.16785
13878A;FLUMET BP;Bureau de Poste;;354 AVENUE DU LAC;IMMEUBLE LE FAUCIGNY;;73590;FLUMET;73114;FRANCE;45.81775;6.513819;Géocodé au numéro;3631;45.81775, 6.513819
13879A;AUSSOIS AP;Agence postale communale;13928A;16 RUE DE L EGLISE;;;73500;AUSSOIS;73023;FRANCE;45.227896;6.741738;Géocodé au numéro;3631;45.227896, 6.741738
13884A;GRESY SUR ISERE BP;Bureau de Poste;;PLACE DE L HOTEL DE VILLE;;;73460;GRESY SUR ISERE;73129;FRANCE;45.601297;6.254446;Géocodé au milieu de la rue;3631;45.601297, 6.254446
13887A;LANSLEBOURG MONT CENIS BP;Bureau de Poste;;202 ROUTE NATIONALE;;;73480;LANSLEBOURG MONT CENIS;73143;FRANCE;45.28551;6.880722;Géocodé au numéro;3631;45.28551, 6.880722
13892A;MACOT RP;Relais poste commerçant;13849A;27 RUE DE LA REMISE;PROXI SERVICES MME DAVID;;73210;MACOT LA PLAGNE;73150;FRANCE;45.553768;6.671881;Géocodé au numéro;3631;45.553768, 6.671881
13893A;LES MARCHES BP;Bureau de Poste;;FERME ROSSET;;;73800;LES MARCHES;73151;FRANCE;45.499391;6.000045;Géocodé au numéro;3631;45.499391, 6.000045
13898A;LE MONTCEL RP;Relais poste commerçant;14094A;CHEF LIEU;BOULANGERIE PATISSERIE CL PACCARD;;73100;MONTCEL;73164;FRANCE;45.723798;5.983523;Géocodé au centre de la commune;3631;45.723798, 5.983523
13900A;MONTRICHER ALBANNE KARELLIS AP;Agence postale communale;13928A;LES KARELLIS;;;73870;MONTRICHER ALBANNE;73173;FRANCE;45.234593;6.415188;Géocodé au centre de la commune;3631;45.234593, 6.415188
13904A;NOTRE DAME DE BELLECOMBE AP;Agence postale communale;13831A;LIEU DIT CHEF LIEU;;;73590;NOTRE DAME DE BELLECOMBE;73186;FRANCE;45.809497;6.519387;Géocodé au centre de la commune;3631;45.809497, 6.519387
13905A;LA LECHERE AP;Agence postale communale;13903A;;CHEF LIEU;;73260;LA LECHERE;73187;FRANCE;45.501793;6.470538;Géocodé au centre de la commune;3631;45.501793, 6.470538
13913A;LA RAVOIRE;Bureau de Poste;;ZAC DE VALFLEURI;;;73490;LA RAVOIRE;73213;FRANCE;45.55904;5.962134;Géocodé au numéro;3631;45.55904, 5.962134
13917A;SAINT BALDOPH BP;Bureau de Poste;;ROUTE D APREMONT;IMMEUBLE LE VERGER;;73190;ST BALDOPH;73225;FRANCE;45.533575;5.955913;Géocodé au numéro;3631;45.533575, 5.955913
13922A;SAINTE FOY TARENTAISE BP;Bureau de Poste;;CHEF LIEU;;;73640;STE FOY TARENTAISE;73232;FRANCE;45.590896;6.883025;Géocodé au numéro;3631;45.590896, 6.883025
13928A;SAINT JEAN DE MAURIENNE;Bureau de Poste;;PLACE FODERE;;;73300;ST JEAN DE MAURIENNE;73248;FRANCE;45.277896;6.343265;Géocodé au numéro;3631;45.277896, 6.343265
13937A;SAINT REMY DE MAURIENNE AP;Agence postale communale;13928A;;;;73660;ST REMY DE MAURIENNE;73278;FRANCE;45.389693;6.266502;Géocodé au centre de la commune;3631;45.389693, 6.266502
13938A;SAINT SORLIN D ARVES AP;Agence postale communale;13928A;LA VILLE;;;73530;ST SORLIN D ARVES;73280;FRANCE;45.221899;6.232969;Géocodé au milieu de la rue;3631;45.221899, 6.232969
13941A;TERMIGNON AP;Agence postale communale;13928A;;;;73500;TERMIGNON;73290;FRANCE;45.275896;6.816736;Géocodé au centre de la commune;3631;45.275896, 6.816736
13947A;VALLOIRE BP;Bureau de Poste;;ROUTE NATIONALE;;;73450;VALLOIRE;73306;FRANCE;45.164959;6.42561;Géocodé au numéro;3631;45.164959, 6.42561
13952A;YENNE BP;Bureau de Poste;;CHEMIN DE RONDE;IMMEUBLE BEAUREGARD;;73170;YENNE;73330;FRANCE;45.702665;5.758264;Géocodé au numéro;3631;45.702665, 5.758264
13959A;MODANE VILLE RP;Relais poste commerçant;13928A;16 PLACE HOTEL DE VILLE;ALIMENTZTION VIVAL;;73500;MODANE;73157;FRANCE;45.201825;6.672292;Géocodé au numéro;3631;45.201825, 6.672292
13966A;UGINE LES FONTAINES RP;Relais poste commerçant;13831A;976 AVENUE BIANCO;COMMERCE EQUITABLE ARTERE;MME CICERALE SYLVIANE;73400;UGINE;73303;FRANCE;45.750098;6.418636;Géocodé au milieu de la rue;3631;45.750098, 6.418636
13967A;LES MENUIRES BP;Bureau de Poste;;CROISETTE LES MENUIRES;IMMEUBLE BELLEDONNE;LES MENUIRES;73440;ST MARTIN DE BELLEVILLE;73257;FRANCE;45.322192;6.536908;Géocodé au centre de la commune;3631;45.322192, 6.536908
13968A;SAINTE THERESE BP;Bureau de Poste;;740 RUE COMMANDANT DUBOIS;;;73200;ALBERTVILLE;73011;FRANCE;45.665395;6.37944;Géocodé au numéro;3631;45.665395, 6.37944
13973A;TIGNES VAL CLARET AP;Agence postale communale;13849A;LE NEVADA;MAISON DE TIGNES VAL CLARET;;73320;TIGNES;73296;FRANCE;45.491794;6.922323;Géocodé au centre de la commune;3631;45.491794, 6.922323
13974A;BELLE PLAGNE RP;Relais poste commerçant;13849A;CENTRE COMMERCIAL AMONT;TABAC MR BOURET FRANTZ;BELLE PLAGNE;73210;MACOT LA PLAGNE;73150;FRANCE;45.509895;6.695808;Géocodé au centre de la commune;3631;45.509895, 6.695808
13980A;LA TOUSSUIRE AP;Agence postale communale;13928A;LA TOUSSUIRE FONTCOUVERTE;CENTRE ACCUEIL;;73300;FONTCOUVERTE LA TOUSSUIRE;73116;FRANCE;45.246699;6.301637;Géocodé au centre de la commune;3631;45.246699, 6.301637
13986A;ALBY SUR CHERAN BP;Bureau de Poste;;6 PLACE DE LA POSTE;;;74540;ALBY SUR CHERAN;74002;FRANCE;45.821175;6.022992;Géocodé au numéro;3631;45.821175, 6.022992
13990A;AMBILLY BP;Bureau de Poste;;30 RUE DES MARRONNIERS;;;74100;AMBILLY;74008;FRANCE;46.195426;6.224741;Géocodé au numéro;3631;46.195426, 6.224741
13995A;ANNECY BALMETTES BP;Bureau de Poste;;37 AVENUE DE LOVERCHY;;;74000;ANNECY;74010;FRANCE;45.895395;6.119709;Géocodé au numéro;3631;45.895395, 6.119709
14002A;BERNEX BP;Bureau de Poste;;CHEF LIEU;;;74500;BERNEX;74033;FRANCE;46.360462;6.675466;Géocodé au numéro;3631;46.360462, 6.675466
14004A;BOEGE BP;Bureau de Poste;;PLACE DES MARRONNIERS;;;74420;BOEGE;74037;FRANCE;46.208511;6.404981;Géocodé au numéro;3631;46.208511, 6.404981
14014A;CHAVANOD BP;Bureau de Poste;;41 ROUTE DE LA FRUITIERE;;;74650;CHAVANOD;74067;FRANCE;45.883657;6.061715;Géocodé au numéro;3631;45.883657, 6.061715
14018A;CHOISY AP;Agence postale communale;14073A;71 PLACE DE L EGLISE;;;74330;CHOISY;74076;FRANCE;45.992998;6.056917;Géocodé au milieu de la rue;3631;45.992998, 6.056917
14032A;CRANVES SALES BP;Bureau de Poste;;140 RUE DE LA POSTE;;;74380;CRANVES SALES;74094;FRANCE;46.187882;6.291376;Géocodé au numéro;3631;46.187882, 6.291376
14033A;CRUSEILLES BP;Bureau de Poste;;30 AVENUE DES EBEAUX;IMMEUBLE LE MERCURE;;74350;CRUSEILLES;74096;FRANCE;46.033063;6.106222;Géocodé au numéro;3631;46.033063, 6.106222
14042A;EVIAN LES BAINS;Bureau de Poste;;10 PLACE CHARLES DE GAULLE;;;74500;EVIAN LES BAINS;74119;FRANCE;46.400978;6.588912;Géocodé au numéro;3631;46.400978, 6.588912
14073A;MEYTHET;Bureau de Poste;;2 AVENUE DU STADE;;;74960;MEYTHET;74182;FRANCE;45.915846;6.091311;Géocodé au numéro;3631;45.915846, 6.091311
14075A;MONNETIER MORNEX BP;Bureau de Poste;;CHEMIN DES VERASSES;;;74560;MONNETIER MORNEX;74185;FRANCE;46.164005;6.237334;Géocodé au numéro;3631;46.164005, 6.237334
14082A;PASSY RP;Relais poste commerçant;14010A;;COMMERCANT;;74190;PASSY;74208;FRANCE;45.923606;6.68593;Géocodé au numéro;3631;45.923606, 6.68593
14084A;PERRIGNIER BP;Bureau de Poste;;RESIDENCE FONTAINE;;;74550;PERRIGNIER;74210;FRANCE;46.304391;6.442046;Géocodé au numéro;3631;46.304391, 6.442046
14097A;SAINT GERVAIS LES BAINS BP;Bureau de Poste;;53 AVENUE DE MIAGE;;;74170;ST GERVAIS LES BAINS;74236;FRANCE;45.890607;6.713636;Géocodé au numéro;3631;45.890607, 6.713636
14100A;SAINT JEAN DE SIXT BP;Bureau de Poste;;CHEF LIEU;;;74450;ST JEAN DE SIXT;74239;FRANCE;45.922542;6.411058;Géocodé au numéro;3631;45.922542, 6.411058
14104A;SAINT NICOLAS DE VEROCE RP;Relais poste commerçant;14010A;4044 ROUTE DE SAINT NICOLAS;;;74190;SAINT NICOLAS DE VEROCE;74236;FRANCE;45.852894;6.723651;Géocodé au numéro;3631;45.852894, 6.723651
14105A;SAINT PAUL EN CHABLAIS BP;Bureau de Poste;;CHEF LIEU;;;74500;ST PAUL EN CHABLAIS;74249;FRANCE;46.379613;6.62894;Géocodé au numéro;3631;46.379613, 6.62894
14106A;SAINT PIERRE EN FAUCIGNY BP;Bureau de Poste;;CHEF LIEU;;;74800;ST PIERRE EN FAUCIGNY;74250;FRANCE;46.060122;6.371371;Géocodé au numéro;3631;46.060122, 6.371371
14108A;SALLENOVES AP;Agence postale communale;14073A;;1 PLACE DU VILLAGE;;74270;SALLENOVES;74257;FRANCE;46.005493;5.99716;Géocodé au centre de la commune;3631;46.005493, 5.99716
14113A;SEVRIER BP;Bureau de Poste;;2268 ROUTE D ALBERTVILLE;;;74320;SEVRIER;74267;FRANCE;45.863117;6.140394;Géocodé au numéro;3631;45.863117, 6.140394
14114A;SEYNOD;Bureau de Poste;;20 PLACE SAINT JEAN;;;74600;SEYNOD;74268;FRANCE;45.887262;6.101684;Géocodé au numéro;3631;45.887262, 6.101684
14118A;TALLOIRES BP;Bureau de Poste;;CHEF LIEU;;;74290;TALLOIRES;74275;FRANCE;45.839492;6.214417;Géocodé au centre de la commune;3631;45.839492, 6.214417
14119A;TANINGES BP;Bureau de Poste;;RUE DES ARCADES;;;74440;TANINGES;74276;FRANCE;46.108263;6.592073;Géocodé au numéro;3631;46.108263, 6.592073
14137A;VIRY BP;Bureau de Poste;;59 RUE DES MARRONNIERS;;;74580;VIRY;74309;FRANCE;46.117441;6.03739;Géocodé au numéro;3631;46.117441, 6.03739
14142A;YVOIRE AP;Agence postale communale;14123A;CHEF LIEU;;;74140;YVOIRE;74315;FRANCE;46.369796;6.326159;Géocodé au centre de la commune;3631;46.369796, 6.326159
14151A;LES BOSSONS BP;Bureau de Poste;;272 ROUTE DES BOSSONS;;;74400;CHAMONIX MONT BLANC;74056;FRANCE;45.907757;6.841186;Géocodé au numéro;3631;45.907757, 6.841186
14158A;ARACHES RP;Relais poste commerçant;14022A;GALERIE MARCHANDE;;;74300;ARACHES;74014;FRANCE;46.042787;6.632692;Géocodé au numéro;3631;46.042787, 6.632692
14167A;PARIS PLACE GAMBETTA;Bureau de Poste;;7 PLACE GAMBETTA;;;75020;PARIS;75120;FRANCE;48.864992;2.397838;Géocodé au numéro;3631;48.864992, 2.397838
14181A;PARIS BELLEVILLE BP;Bureau de Poste;;73 BOULEVARD DE BELLEVILLE;;;75011;PARIS;75111;FRANCE;48.870699;2.377968;Géocodé au numéro;3631;48.870699, 2.377968
14187A;PARIS TOUR MONTPARNASSE BP;Bureau de Poste;;33 AVENUE DU MAINE;;;75015;PARIS;75115;FRANCE;48.842197;2.321955;Géocodé au numéro;3631;48.842197, 2.321955
14214A;PARIS MOZART BP;Bureau de Poste;;28 AVENUE MOZART;;;75016;PARIS;75116;FRANCE;48.856497;2.271556;Géocodé au numéro;3631;48.856497, 2.271556
14220A;PARIS VOLONTAIRES FRANCOIS BONVIN;Bureau de Poste;;204 RUE DE VAUGIRARD;20 30 RUE COPREAU;;75015;PARIS;75115;FRANCE;48.841295;2.307018;Géocodé au numéro;3631;48.841295, 2.307018
14222A;PARIS LOUVRE;Bureau de Poste;;16 RUE ETIENNE MARCEL;;;75002;PARIS;75102;FRANCE;48.8641;2.348539;Géocodé au numéro;3631;48.8641, 2.348539
14233A;PARIS ITALIE;Bureau de Poste;;23 AVENUE D ITALIE;;;75013;PARIS;75113;FRANCE;48.828697;2.356767;Géocodé au numéro;3631;48.828697, 2.356767
14236A;PARIS PASSY;Bureau de Poste;;40 RUE SINGER;;;75016;PARIS;75116;FRANCE;48.856697;2.276077;Géocodé au numéro;3631;48.856697, 2.276077
14263A;PARIS MOUSSY BP;Bureau de Poste;;10 RUE DE MOUSSY;;;75004;PARIS;75104;FRANCE;48.857799;2.355906;Géocodé au numéro;3631;48.857799, 2.355906
14264A;PARIS MONCEAU BP;Bureau de Poste;;101 BOULEVARD MALESHERBES;;;75008;PARIS;75108;FRANCE;48.879296;2.314259;Géocodé au numéro;3631;48.879296, 2.314259
14265A;PARIS FEUILLANTINES BP;Bureau de Poste;;47 RUE D ULM;;;75005;PARIS;75105;FRANCE;48.841497;2.343877;Géocodé au numéro;3631;48.841497, 2.343877
14271A;PARIS RODIN ORSAY BP;Bureau de Poste;;103 RUE DE GRENELLE;;;75007;PARIS;75107;FRANCE;48.856891;2.319417;Géocodé au numéro;3631;48.856891, 2.319417
